,IBEX_ret,SPX_ret
2000-06-01,0.017344173073129375,0.019663269874029277
2000-06-02,0.024164258346634365,0.019446456896420408
2000-06-05,-0.012399763868686728,-0.006540169012008556
2000-06-06,-0.02035260638678672,-0.006692993404042075
2000-06-07,-0.00871860188298156,0.00923126844668116
2000-06-08,0.01030321415748534,-0.006607485476626416
2000-06-09,0.006792010492706206,-0.003234471699907343
2000-06-12,-0.007560835653346516,-0.00754405228380546
2000-06-13,0.0013613009347386476,0.01608021221744243
2000-06-14,0.006889066946812253,0.0007483708834083865
2000-06-15,-0.00043206920027351336,0.005553891236846384
2000-06-16,-0.014092988559109806,-0.009697050911417971
2000-06-19,-0.012026780613220255,0.014601399132715121
2000-06-20,-0.0030435536934753545,-0.006786129112329044
2000-06-21,-0.02027343995931471,0.002152263211684242
