Date,IBEX,SPX,IBEX_RV,SPX_RV,IBEX_EGARCH,SPX_EGARCH,vol_ratio_RV,vol_ratio_EGARCH,DD_IBEX,DD_SPX,rolling_corr,rolling_beta,IBEX_exc_95,SPX_exc_95,IBEX_exc_99,SPX_exc_99,IBEX_sev_95,SPX_sev_95
2012-02-21,0.0126378049122383,0.0007196637576957,0.1730088278662542,0.0899179039040203,1.210157406070672,1.0244759437006927,1.924075410509195,1.1812453123098683,-0.5501587286681473,-0.32835214586627104,0.6889399500138385,0.9113659515232774,0,0,0,0,,
2012-02-22,-0.0126378049122382,-0.0033456974121455,0.17905445337554302,0.09122674360851665,1.187207645370458,1.0494908713060884,1.9627408180206822,1.1312224601753624,-0.5558437348967125,-0.33059927635371944,0.6756916566213234,0.9107198918325713,0,0,0,0,,
2012-02-23,-0.0150485461556583,0.0042629031806062,0.18671259933919554,0.08801766544798137,1.2242438060951195,1.0438790430488096,2.121308244076788,1.1727832015091775,-0.5625276409524442,-0.3277456858797875,0.6680352269623379,0.9119857043925889,0,0,0,0,,
2012-02-24,0.0,0.0016708411755084,0.17348142187210858,0.08385261915317188,1.2586419642945192,1.0495767346607734,2.0688849510498124,1.1991900379740377,-0.5625276409524442,-0.3266224556913423,0.6210643732727223,0.9053127353164298,0,0,0,0,,
2012-02-27,0.0011133977403506,0.0013536425518792,0.17242577542246143,0.08293528087111174,1.2557678383074506,1.0798426863824395,2.079040109485194,1.1629173898601606,-0.5620405602164147,-0.32571094319388616,0.6209848657653863,0.9137488663179492,0,0,0,0,,
2012-02-28,-0.0012306696477705,0.0033507134923147,0.1622918459898015,0.08137543418726827,1.269367424073796,1.041441606870746,1.9943592020206162,1.2188560699892779,-0.5625795436059109,-0.3234515937535257,0.5454424515016,0.9030110980897382,0,0,0,0,,
2012-02-29,-0.0071560708715325,-0.0047482427569533,0.1642872698985213,0.08459834272482568,1.2687132621289856,0.9949689217331416,1.9419679464986803,1.2751285335817397,-0.5657097553925251,-0.32666400982321386,0.5477561614034914,0.8827315585023813,0,0,0,0,,
2012-03-01,0.0096158974807184,0.0061391565445329,0.147452141999023,0.08218413710756187,1.2249753938760055,1.008595871678437,1.7941679159572967,1.214535403399465,-0.5615336649235035,-0.32253029477245043,0.562771671351198,0.8798888499207537,0,0,0,0,,
2012-03-02,0.0018350912927343,-0.0032510350278581,0.14353777808644974,0.08414057618728593,1.283265448071103,1.0093489836825216,1.705928157265686,1.2713793433359601,-0.5607290391698476,-0.32473277251445787,0.5490621298952462,0.8931203468956376,0,0,0,0,,
2012-03-05,-0.0129168097177203,-0.0038772005028211,0.1427636099507212,0.07116255280433813,1.3397831322714846,1.081077982417895,2.0061620097195028,1.2393029495198673,-0.5664030185854108,-0.3273509189484035,0.5534958510894081,0.8670328540506361,0,0,0,0,,
