,IBEX,SPX,IBEX_RV,SPX_RV,IBEX_EGARCH,SPX_EGARCH,vol_ratio_RV,vol_ratio_EGARCH,DD_IBEX,DD_SPX,rolling_corr,rolling_beta,IBEX_exc_95,SPX_exc_95,IBEX_exc_99,SPX_exc_99,IBEX_sev_95,SPX_sev_95
2007-08-13,0.0190441270990217,-0.0004954108659971,0.2340870517127787,0.2304184151656506,1.6016748910152625,1.6124556498034874,1.0159216291132402,0.9933140742261415,-0.05291048275982457,-0.14833492600808418,0.4036132205136657,0.5102314266269663,0,0,0,0,,
2007-08-14,-0.0122044190516102,-0.0183233954989881,0.2366542807539477,0.23615501120542848,1.6563993265448391,1.4799615796885437,1.0021141602965389,1.1192177886762618,-0.06446916010761083,-0.16394032199151298,0.4193987357174619,0.5101054100082985,0,0,0,0,,
2007-08-15,-0.0022425606959698,-0.014005458249531,0.23611868723682622,0.23856193752687352,1.6510077345793697,1.571346368516004,0.9897584236807597,1.0506962485544156,-0.06656714479902126,-0.1756497209059773,0.4204494660837865,0.46948259513612706,0,0,0,0,,
2007-08-16,-0.0379551917719164,0.003243520983883,0.26411775467592336,0.23797945791523817,1.5527546326729935,1.5987575050625256,1.1098342562407002,0.9712258599294376,-0.10199576782438191,-0.172975923477666,0.3597053944736986,0.4710898051451225,1,0,1,0,-1.4235682430836318,
2007-08-17,0.0182730564275,0.0242695665225197,0.27000028349194244,0.2572897763669449,1.8280852094280235,1.4807188435958991,1.049401524244282,1.2345930608869349,-0.08558648581770312,-0.15290440763678181,0.3983374041741804,0.45500294921786244,0,0,0,0,,
2007-08-20,0.0022170062530548,-0.0002696828152993,0.2675849853439567,0.2558635382482694,1.8532416599487112,1.6284081749067696,1.04581132261336,1.138069489275816,-0.08355922533888316,-0.15313285476095784,0.3984945639830717,0.4696638149495728,0,0,0,0,,
2007-08-21,-0.002055487634768,0.001085465275582,0.26634781363708965,0.24835199384020837,1.7250924404290195,1.4917643492937562,1.072460943512537,1.1564108240324469,-0.08544295801919632,-0.15221360988176957,0.39739925149183003,0.4588895854026797,0,0,0,0,,
2007-08-22,0.0083500266921653,0.011644820880578,0.2687231749480857,0.2521074544841108,1.6184497455131732,1.3613330254711422,1.0659072953553703,1.188871286622203,-0.07780638230714887,-0.14234128922385103,0.4099818534183026,0.4611034128373662,0,0,0,0,,
2007-08-23,-0.0046559459685171,-0.0010728917937874,0.25238833102995745,0.23858584937850144,1.5680068199537989,1.3648328816038338,1.0578512166057226,1.148863601609021,-0.08210006596363806,-0.14326146421651298,0.41244716407495857,0.46639774723478616,0,0,0,0,,
2007-08-24,0.00292734895193,0.0114690180502615,0.2523247015749008,0.2349833095584742,1.4993619864665817,1.264555360546886,1.0737983989118651,1.1856831525494844,-0.07941305255376008,-0.1334355144852576,0.4116926677644916,0.4558026408835236,0,0,0,0,,
2007-08-27,-0.0020181934716063,-0.0085399519130986,0.2517875146913713,0.23434297754686034,1.4095052597039006,1.276460084018966,1.0744401958493621,1.104229797195098,-0.08127097512114212,-0.14083593352115265,0.4127420772138964,0.45331834775105506,0,0,0,0,,
2007-08-28,-0.0127119879921547,-0.0237529428961658,0.24260820847104247,0.24515278230184245,1.3306825863029048,1.2707792331730148,0.9896204570598469,1.0471390714973499,-0.09294984745344625,-0.16124360853066233,0.4254413410414189,0.4535870763989653,0,1,0,0,,-0.12091304825539595
2007-08-29,0.0041542405307394,0.0216850509809045,0.23953473041474968,0.25653795807236823,1.360549008251838,1.4596174964737714,0.9337204217832668,0.932127089144061,-0.08918174294632408,-0.1430551334210901,0.41941565254909474,0.4534348573349123,0,0,0,0,,
2007-08-30,0.0091098580460577,-0.0041897747783128,0.24119531941908942,0.25637742699288535,1.2941404718827274,1.576374371575277,0.9407821985271065,0.8209601064431717,-0.08088431791880735,-0.1466455394094871,0.39709731378440083,0.45999845622433067,0,0,0,0,,
2007-08-31,0.0115583842553097,0.0111543032908534,0.24303125799893696,0.2393514447562924,1.2800912892291043,1.4886511107557103,1.0153741008181143,0.8599001337387031,-0.07026082569023173,-0.13712696494145793,0.40208609482071794,0.44845217663963566,0,0,0,0,,
2007-09-03,0.0046233827984542,0.0,0.2421879483348494,0.22416397345558875,1.29096913273236,1.4724830506899005,1.080405314919311,0.8767293668524768,-0.06596228558467898,-0.13712696494145793,0.4021960855965235,0.4565376707165814,0,0,0,0,,
2007-09-04,0.0029652533781494,0.0104138090770479,0.23610033685625956,0.22616649901703365,1.234962829128592,1.3492635790316172,1.043922675915312,0.9152865669248552,-0.06319262709668994,-0.12814116989662538,0.39475621967954744,0.4425260405969203,0,0,0,0,,
2007-09-05,-0.0242813134245465,-0.0115677736314107,0.23306424693633138,0.22404002715016227,1.1685305011134692,1.339446179375559,1.0402794978243806,0.8723982486987498,-0.08593954053658126,-0.1382266354818078,0.4074359765273907,0.43977046028468336,1,0,0,0,-0.3704680473542452,
2007-09-06,-0.0029325943065028,0.0042428725177974,0.23090356490239913,0.19598116316277184,1.3354166586944616,1.3632180966642051,1.1781926445176905,0.9796060233958355,-0.08862010903580297,-0.13457024095692371,0.4026142572679184,0.47376753229659774,0,0,0,0,,
2007-09-07,-0.0231558976676968,-0.0170530370794874,0.22685940587794254,0.20606745948661676,1.2714688255054114,1.280959746534305,1.100898736962767,0.9925907733989521,-0.10972392852736645,-0.14932844672757706,0.4209894149473389,0.47269694931103035,1,0,0,0,-0.16920714997288666,
2007-09-10,-0.01065969003572,-0.0012736238921536,0.21438746230225705,0.20611062942208772,1.414938768347492,1.3797742304433498,1.040157234507394,1.0254857186982274,-0.11921399549548317,-0.15041188234220015,0.42071871709929376,0.49540747929683954,0,0,0,0,,
2007-09-11,0.0172763332618666,0.0135402363950209,0.22390400054032478,0.19955544320493993,1.4169574800604745,1.2801668150468497,1.1220139974351855,1.1068537814024015,-0.10399724294927526,-0.13890825839071264,0.44006525782377864,0.49700973484938704,0,0,0,0,,
2007-09-12,0.0010663052802031,4.761615210455319e-05,0.2241762506163361,0.19108006315267634,1.4717549921415047,1.3154788293402866,1.1732058641681278,1.118797930696909,-0.10304183047835536,-0.13886725651536813,0.45005927997286616,0.5148735466349617,0,0,0,0,,
2007-09-13,0.0069427052565264,0.00838431615381,0.1808530520818819,0.19230065273743868,1.3675031511949152,1.207976259550299,0.9404702974607841,1.132061280495698,-0.09681451427993326,-0.13164724734359534,0.4645217552504252,0.5154898695932008,0,0,0,0,,
2007-09-14,-0.0155198792375507,0.0002021756176019,0.17615324498820928,0.17431806073852482,1.3264027467435378,1.189294489294554,1.0105277917956947,1.115285371859674,-0.1108318439474173,-0.13147168758953076,0.45544019193142543,0.5156018491398767,0,0,0,0,,
2007-09-17,-0.0119095946720855,-0.0051335689917121,0.17947569368905783,0.17575084383109416,1.3847451241580169,1.0929554509855322,1.0211939230376808,1.266973070960371,-0.12142147628132927,-0.13593033760254525,0.4607183202936655,0.5163156433985947,0,0,0,0,,
2007-09-18,0.0248832352040688,0.0287895816408063,0.20334389654546664,0.20143146832251785,1.4017148310686287,1.066529937662652,1.009494187968122,1.3142761225630002,-0.09955960023039379,-0.11105413351360982,0.5013194598988714,0.519401432309716,0,0,0,0,,
2007-09-19,0.0317371449353099,0.0060679597642346,0.23206557855510465,0.19901311221306023,1.5365851527182397,1.3345266883731215,1.166081852469394,1.1514083353338112,-0.07098219275729745,-0.10566004576318777,0.5008363439514018,0.5367770085594337,0,0,0,0,,
2007-09-20,-0.0046816003729401,-0.0067459384752551,0.2320731119809318,0.20124571475604194,1.730585763702582,1.275852095552325,1.153182875283879,1.3564156611377434,-0.07533148287015268,-0.1116932080704317,0.5048653381786335,0.5504438048826995,0,0,0,0,,
2007-09-21,0.0016275554953759,0.0045984643357457,0.23193629400546326,0.19836403438294098,1.647461518942179,1.249145957921436,1.169245698833243,1.3188703117476643,-0.07382653354369695,-0.10760836096854287,0.5068340037851193,0.5504907460526779,0,0,0,0,,
2007-09-24,0.0030471727703759,-0.0052703077703663,0.23193170954324613,0.19649030073666537,1.532642404760043,1.1826735233424504,1.1803723067943137,1.295913347606292,-0.07100432297606674,-0.11231153955794027,0.5133344126874829,0.5503870300719372,0,0,0,0,,
2007-09-25,-0.012691705418179,-0.0003426885186387,0.2319162139490475,0.1723468785101815,1.4409225595795132,1.1485744478151314,1.3456362885931057,1.2545312690183028,-0.08279486244361633,-0.11261574020146181,0.509358120557942,0.5473138453565614,0,0,0,0,,
2007-09-26,0.014001672300195,0.0053967146323151,0.2364746494790716,0.15786124938709445,1.4603562767341585,1.0623264800481025,1.4979904846642116,1.3746774688964103,-0.06995245667549665,-0.10782678058212103,0.5131471065934597,0.5478372807070725,0,0,0,0,,
