,RSI_IBEX,MACD_IBEX,Momentum_IBEX,Volatility_IBEX,RSI_SPX,MACD_SPX,Momentum_SPX,Volatility_SPX
2004-09-08,46.65388268915851,-0.0004561711249062618,-0.0107174768208193,0.07946725441798522,49.604611606333044,-0.0004014315854722264,-0.0060072320366357,0.10544209358729426
2004-09-09,47.675231137892034,-0.0010589048358830874,-0.0127545966303457,0.08735119664317342,47.88403343396046,-0.000292030211740407,-0.0092616868419575,0.09243914580770295
2004-09-10,44.07776777115812,-0.0008047603204365047,-0.0075354605681113,0.08117571923483452,53.57428673684485,-1.8446024989909643e-05,0.0091351149237122,0.09273374205624113
2004-09-13,55.535629234625894,-0.00023816607269223824,0.0021858838483874996,0.08209733404902327,50.591045520265475,-5.8649245458086284e-05,0.0016889976651999,0.08339751813147388
2004-09-14,48.452518812545804,-0.0006076141733875885,-0.004046187244703,0.07887818375239523,47.02686990389873,-5.139154959851516e-05,-0.0046368025474717,0.08339805983165731
2004-09-15,42.242138626650686,-0.0008365666397587837,-0.0019134756051984998,0.08162565657713786,46.32843790025501,-0.0006429134240595665,-0.0025836586465734996,0.0801820956890135
2004-09-16,47.73182294915958,-0.0005517281052284156,0.0093452640813001,0.08152997730938552,50.174075849839625,-0.0003534893942732882,0.0009014027717898002,0.07835861783393107
2004-09-17,50.6289164880789,-0.00043922354401356594,-0.0012833312022748,0.07889648261154991,56.335894981482916,-4.7945977809376195e-05,-0.00045654612874060016,0.07694928958266618
2004-09-20,48.36766302074856,-0.0006506381430931645,-0.0118785578739747,0.07572363474136973,44.58344012251886,-0.0005026941460009344,-0.0073316630034145,0.07983443796731499
2004-09-21,45.22317280643066,-0.0003588878318987324,0.0056743209784718,0.07561151344413732,52.315090712437865,-7.873535876816266e-08,0.0040800009530343,0.0817943956593156
2004-09-22,42.059338226934685,-0.0006881644340339238,-0.0022886474588815,0.08011527293787475,38.9805988851135,-0.0009845902278396745,-0.006956230954873301,0.09491267486987556
2004-09-23,40.71926770666256,-0.0007104466668714458,-0.0060899149829586,0.07956858258715177,49.77514598673235,-0.000952090265904741,-0.0074705400542498,0.09660687483233772
2004-09-24,45.58502155911771,-0.00047665500852245594,-0.0014050922202417,0.07779344338222724,50.71480554776976,-0.00047931055934884355,-0.0029071892850876004,0.0963894091900884
2004-09-27,45.56656733974068,-0.0006342134168397372,-0.0018861730696362001,0.08111677682262991,44.22745570703315,-0.0006343120908812228,-0.0003113425797640996,0.09457395090859765
2004-09-28,54.93767581154276,6.746509334820921e-05,0.003919360723022,0.08323928681824054,54.66478449705393,6.450165562530113e-05,-0.00039798185949150005,0.09547953943458518
2004-09-29,59.37499652844793,0.0005951828389977138,0.0135850792307034,0.08165121628301104,51.11082121240799,0.00039944136291898897,0.0182968116777474,0.09645033103681534
2004-09-30,47.16931930792051,0.000274703213439722,0.0015083209600942,0.08011271770890506,47.62522220801654,0.0003084969311907469,0.004483263428894799,0.08768893627641566
2004-10-01,57.950892587535606,0.001715858490835516,0.0241590352751833,0.11098374178656426,55.56434503575597,0.001213318902149458,0.0134889089502094,0.10151940392321149
2004-10-04,56.836208676148836,0.0016767124746486692,0.0160295798649823,0.11458795959967673,50.384514093994305,0.0009631016156594164,0.0091922799922457,0.10183292907393607
2004-10-05,51.77297354939284,0.0009122577103248064,-0.00605428314974708,0.11464003896064698,52.56730620580671,0.0005092391901579268,-0.0065171115126536,0.09951293999716258
