,Date,SPX
118,2000-06-21,1479.1300048828125
119,2000-06-22,1452.1800537109375
120,2000-06-23,1441.47998046875
121,2000-06-26,1455.31005859375
122,2000-06-27,1450.550048828125
123,2000-06-28,1454.8199462890625
124,2000-06-29,1442.3900146484375
125,2000-06-30,1454.5999755859375
126,2000-07-03,1469.5400390625
127,2000-07-05,1446.22998046875
128,2000-07-06,1456.6700439453125
129,2000-07-07,1478.9000244140625
130,2000-07-10,1475.6199951171875
131,2000-07-11,1480.8800048828125
132,2000-07-12,1492.9200439453125
133,2000-07-13,1495.8399658203125
134,2000-07-14,1509.97998046875
135,2000-07-17,1510.489990234375
136,2000-07-18,1493.739990234375
137,2000-07-19,1481.9599609375
138,2000-07-20,1495.5699462890625
139,2000-07-21,1480.18994140625
140,2000-07-24,1464.2900390625
141,2000-07-25,1474.469970703125
142,2000-07-26,1452.4200439453125
143,2000-07-27,1449.6199951171875
144,2000-07-28,1419.8900146484375
145,2000-07-31,1430.8299560546875
146,2000-08-01,1438.0999755859375
147,2000-08-02,1438.699951171875
148,2000-08-03,1452.56005859375
149,2000-08-04,1462.9300537109375
150,2000-08-07,1479.3199462890625
151,2000-08-08,1482.800048828125
152,2000-08-09,1472.8699951171875
153,2000-08-10,1460.25
154,2000-08-11,1471.8399658203125
155,2000-08-14,1491.56005859375
156,2000-08-15,1484.4300537109375
157,2000-08-16,1479.8499755859375
158,2000-08-17,1496.0699462890625
159,2000-08-18,1491.719970703125
160,2000-08-21,1499.47998046875
161,2000-08-22,1498.1300048828125
162,2000-08-23,1505.969970703125
163,2000-08-24,1508.31005859375
164,2000-08-25,1506.449951171875
165,2000-08-28,1514.0899658203125
166,2000-08-29,1509.8399658203125
167,2000-08-30,1502.5899658203125
168,2000-08-31,1517.6800537109375
169,2000-09-01,1520.77001953125
170,2000-09-05,1507.0799560546875
171,2000-09-06,1492.25
172,2000-09-07,1502.510009765625
173,2000-09-08,1494.5
174,2000-09-11,1489.260009765625
175,2000-09-12,1481.989990234375
176,2000-09-13,1484.9100341796875
177,2000-09-14,1480.8699951171875
178,2000-09-15,1465.81005859375
179,2000-09-18,1444.510009765625
180,2000-09-19,1459.9000244140625
181,2000-09-20,1451.3399658203125
182,2000-09-21,1449.050048828125
183,2000-09-22,1448.719970703125
184,2000-09-25,1439.030029296875
185,2000-09-26,1427.2099609375
186,2000-09-27,1426.5699462890625
187,2000-09-28,1458.2900390625
188,2000-09-29,1436.510009765625
189,2000-10-02,1436.22998046875
190,2000-10-03,1426.4599609375
191,2000-10-04,1434.3199462890625
192,2000-10-05,1436.280029296875
193,2000-10-06,1408.989990234375
194,2000-10-09,1402.030029296875
195,2000-10-10,1387.02001953125
196,2000-10-11,1364.5899658203125
197,2000-10-12,1329.780029296875
198,2000-10-13,1374.1700439453125
199,2000-10-16,1374.6199951171875
