,Date,IBEX
180,2000-09-15,11463.087890625
181,2000-09-18,11188.087890625
182,2000-09-19,11065.4892578125
183,2000-09-20,10901.2890625
184,2000-09-21,10803.3896484375
185,2000-09-22,11029.3896484375
186,2000-09-25,11159.087890625
187,2000-09-26,10955.9892578125
188,2000-09-27,10957.5888671875
189,2000-09-28,11023.0888671875
190,2000-09-29,10949.9892578125
191,2000-10-02,11152.48828125
192,2000-10-03,11271.1884765625
193,2000-10-04,11159.2880859375
194,2000-10-05,11237.2880859375
195,2000-10-06,11149.98828125
196,2000-10-09,10838.7890625
197,2000-10-10,10950.689453125
198,2000-10-11,10618.689453125
199,2000-10-13,10385.3896484375
