Date,Index,VaR95_exc,VaR99_exc,Severity95
2001-02-22,IBEX,0,0,
2001-02-23,IBEX,0,0,
2001-02-26,IBEX,0,0,
2001-02-27,IBEX,0,0,
2001-02-28,IBEX,0,0,
2001-03-01,IBEX,0,0,
2001-03-02,IBEX,0,0,
2001-03-05,IBEX,0,0,
2001-03-06,IBEX,0,0,
2001-03-07,IBEX,0,0,
2001-03-08,IBEX,0,0,
2001-03-09,IBEX,0,0,
2001-03-12,IBEX,1,0,-0.2028589533863503
2001-03-13,IBEX,0,0,
2001-03-14,IBEX,0,0,
2001-03-15,IBEX,0,0,
2001-03-16,IBEX,0,0,
2001-03-19,IBEX,0,0,
2001-03-20,IBEX,0,0,
2001-03-21,IBEX,1,0,-1.2840625903526806
2001-03-22,IBEX,1,1,-1.7984052855979344
2001-03-23,IBEX,0,0,
2001-03-26,IBEX,0,0,
2001-03-27,IBEX,0,0,
2001-03-28,IBEX,0,0,
2001-03-29,IBEX,0,0,
2001-03-30,IBEX,0,0,
2001-04-02,IBEX,0,0,
2001-04-03,IBEX,1,0,-0.8521802390806017
2001-04-04,IBEX,0,0,
2001-04-05,IBEX,0,0,
2001-04-06,IBEX,0,0,
2001-04-09,IBEX,0,0,
2001-04-10,IBEX,0,0,
2001-04-11,IBEX,0,0,
2001-04-12,IBEX,0,0,
2001-04-13,IBEX,0,0,
2001-04-16,IBEX,0,0,
2001-04-17,IBEX,0,0,
2001-04-18,IBEX,0,0,
2001-04-19,IBEX,0,0,
2001-04-20,IBEX,1,0,-0.28587878150092383
2001-04-23,IBEX,1,0,-0.534356144128294
2001-04-24,IBEX,0,0,
2001-04-25,IBEX,0,0,
2001-04-26,IBEX,0,0,
2001-04-27,IBEX,0,0,
2001-04-30,IBEX,0,0,
2001-05-01,IBEX,0,0,
2001-05-02,IBEX,0,0,
2001-05-03,IBEX,0,0,
2001-05-04,IBEX,0,0,
2001-05-07,IBEX,0,0,
2001-05-08,IBEX,0,0,
2001-05-09,IBEX,0,0,
2001-05-10,IBEX,0,0,
2001-05-11,IBEX,0,0,
2001-05-14,IBEX,0,0,
2001-05-15,IBEX,0,0,
2001-05-16,IBEX,0,0,
2001-05-17,IBEX,0,0,
2001-05-18,IBEX,0,0,
2001-05-21,IBEX,0,0,
2001-05-22,IBEX,0,0,
2001-05-23,IBEX,0,0,
2001-05-24,IBEX,0,0,
2001-05-25,IBEX,0,0,
2001-05-28,IBEX,0,0,
