Date,Index,Drawdown
2000-11-03,IBEX,-0.1903538656103837
2000-11-06,IBEX,-0.1851637201001185
2000-11-07,IBEX,-0.1880024376744036
2000-11-08,IBEX,-0.19457180486252035
2000-11-09,IBEX,-0.21124592345190163
2000-11-10,IBEX,-0.23363359147752227
2000-11-13,IBEX,-0.24047122592428483
2000-11-14,IBEX,-0.2120403589707116
2000-11-15,IBEX,-0.21056167144206606
2000-11-16,IBEX,-0.22283470077918277
2000-11-17,IBEX,-0.2453485018161201
2000-11-20,IBEX,-0.2684786875037315
2000-11-21,IBEX,-0.26501649377866
2000-11-22,IBEX,-0.2916553501732222
2000-11-23,IBEX,-0.28538256508076243
2000-11-24,IBEX,-0.26222156290742515
2000-11-27,IBEX,-0.2699438837463696
2000-11-28,IBEX,-0.28415157566345894
2000-11-29,IBEX,-0.2750833039924384
2000-11-30,IBEX,-0.2954687908351009
2000-12-01,IBEX,-0.2859831685906258
2000-12-04,IBEX,-0.30695312016700094
2000-12-05,IBEX,-0.2776264511822891
2000-12-06,IBEX,-0.2776264511822891
2000-12-07,IBEX,-0.27486776657962386
2000-12-08,IBEX,-0.27486776657962386
2000-12-11,IBEX,-0.25299790485292184
2000-12-12,IBEX,-0.25564313697839625
2000-12-13,IBEX,-0.2584415622076568
2000-12-14,IBEX,-0.273755083450806
2000-12-15,IBEX,-0.3019620855195162
2000-12-18,IBEX,-0.30985172036871733
2000-12-19,IBEX,-0.29456921170703365
2000-12-20,IBEX,-0.3250339130335662
2000-12-21,IBEX,-0.31746960330870866
2000-12-22,IBEX,-0.31179800232328436
2000-12-25,IBEX,-0.31179800232328436
2000-12-26,IBEX,-0.31179800232328436
2000-12-27,IBEX,-0.3087971414589673
2000-12-28,IBEX,-0.3090180017926918
2000-12-29,IBEX,-0.30641901900863955
2001-01-01,IBEX,-0.30641901900863955
2001-01-02,IBEX,-0.30867627728977753
2001-01-03,IBEX,-0.29954733781123366
2001-01-04,IBEX,-0.2700091750575546
2001-01-05,IBEX,-0.2696897656094005
2001-01-08,IBEX,-0.2680031762388143
2001-01-09,IBEX,-0.27118950973130684
2001-01-10,IBEX,-0.2708853250620359
2001-01-11,IBEX,-0.26226540896572725
2001-01-12,IBEX,-0.24792446791585387
2001-01-15,IBEX,-0.24778761858718568
2001-01-16,IBEX,-0.26079624797064416
2001-01-17,IBEX,-0.2385014749102521
2001-01-18,IBEX,-0.2346581185084049
2001-01-19,IBEX,-0.2434710126957178
2001-01-22,IBEX,-0.23864578335360132
2001-01-23,IBEX,-0.23250028294896008
2001-01-24,IBEX,-0.23130063914537358
2001-01-25,IBEX,-0.2301010694325477
2001-01-26,IBEX,-0.23329147928884753
2001-01-29,IBEX,-0.24401940285297918
2001-01-30,IBEX,-0.23749072089858891
2001-01-31,IBEX,-0.23145183006045933
2001-02-01,IBEX,-0.23092027293617234
2001-02-02,IBEX,-0.252062915823801
2001-02-05,IBEX,-0.25219961329276686
2001-02-06,IBEX,-0.24553870056184068
2001-02-07,IBEX,-0.2496583244150068
2001-02-08,IBEX,-0.23909385285460605
2001-02-09,IBEX,-0.24553737599642078
2001-02-12,IBEX,-0.23347039032305072
2001-02-13,IBEX,-0.23668855460674032
2001-02-14,IBEX,-0.2593809063215713
2001-02-15,IBEX,-0.2514104686496935
2001-02-16,IBEX,-0.257184455516392
2001-02-19,IBEX,-0.25175624883839076
2001-02-20,IBEX,-0.26560208912267835
2001-02-21,IBEX,-0.2723392791858098
2001-02-22,IBEX,-0.2856060984743798
2001-02-23,IBEX,-0.29124099571436945
2001-02-26,IBEX,-0.2813293305527499
2001-02-27,IBEX,-0.2754608019117415
2001-02-28,IBEX,-0.2756655274411308
2001-03-01,IBEX,-0.2806346505903521
2001-03-02,IBEX,-0.2742324667416085
2001-03-05,IBEX,-0.26539913955275074
2001-03-06,IBEX,-0.250091415045254
2001-03-07,IBEX,-0.24772988437655585
2001-03-08,IBEX,-0.2572737885501777
2001-03-09,IBEX,-0.26272121172999263
2001-03-12,IBEX,-0.2805044682556054
2001-03-13,IBEX,-0.27928543247188975
2001-03-14,IBEX,-0.2882755050877258
2001-03-15,IBEX,-0.28199154558350104
2001-03-16,IBEX,-0.2962478848714658
2001-03-19,IBEX,-0.2991856953631472
2001-03-20,IBEX,-0.30181163809638223
2001-03-21,IBEX,-0.3262400078434552
2001-03-22,IBEX,-0.35469187422483006
2001-03-23,IBEX,-0.33394916188897283
2001-03-26,IBEX,-0.31509978696116625
2001-03-27,IBEX,-0.30015808446569503
2001-03-28,IBEX,-0.3077464812646308
2001-03-29,IBEX,-0.30327360055011976
2001-03-30,IBEX,-0.2968443444449481
2001-04-02,IBEX,-0.2956367292669082
2001-04-03,IBEX,-0.31964776505278547
2001-04-04,IBEX,-0.30762994138834965
2001-04-05,IBEX,-0.295078180820012
2001-04-06,IBEX,-0.2959692973831416
2001-04-09,IBEX,-0.28659054889395263
2001-04-10,IBEX,-0.27548595039347246
2001-04-11,IBEX,-0.2745734616992309
2001-04-12,IBEX,-0.27194485675327196
2001-04-13,IBEX,-0.27194485675327196
2001-04-16,IBEX,-0.27194485675327196
2001-04-17,IBEX,-0.281232044000684
2001-04-18,IBEX,-0.26104868745572507
2001-04-19,IBEX,-0.2610335888388925
2001-04-20,IBEX,-0.28017205719790506
2001-04-23,IBEX,-0.3014506578625399
2001-04-24,IBEX,-0.2902740972084642
2001-04-25,IBEX,-0.2954545236235516
2001-04-26,IBEX,-0.2825012268306414
2001-04-27,IBEX,-0.2742096049864007
2001-04-30,IBEX,-0.2647495643103882
2001-05-01,IBEX,-0.2647495643103882
2001-05-02,IBEX,-0.2744168282741647
2001-05-03,IBEX,-0.2847560859037155
2001-05-04,IBEX,-0.2813376128280092
2001-05-07,IBEX,-0.277844190821821
2001-05-08,IBEX,-0.27268142011741325
2001-05-09,IBEX,-0.2729601257694443
2001-05-10,IBEX,-0.2634435606398664
2001-05-11,IBEX,-0.27078422001176583
2001-05-14,IBEX,-0.2770076528130223
2001-05-15,IBEX,-0.2721001285183583
2001-05-16,IBEX,-0.2781106531559725
2001-05-17,IBEX,-0.2726053676756993
2001-05-18,IBEX,-0.26758592702040807
2001-05-21,IBEX,-0.27137509641788404
2001-05-22,IBEX,-0.2752474866056528
2001-05-23,IBEX,-0.2748185525811122
2001-05-24,IBEX,-0.2760542208712742
2001-05-25,IBEX,-0.2872675855953172
2001-05-28,IBEX,-0.2814799823099505
2001-05-29,IBEX,-0.2858893517356337
2001-05-30,IBEX,-0.28945856184330676
2001-05-31,IBEX,-0.28489682966383045
2001-06-01,IBEX,-0.2925624587103597
2001-06-04,IBEX,-0.28046617015963116
2001-06-05,IBEX,-0.2774398494941367
2001-06-06,IBEX,-0.2828101914136034
2001-06-07,IBEX,-0.2838569671567527
2001-06-08,IBEX,-0.27707897542998494
2001-06-11,IBEX,-0.27711659997520355
2001-06-12,IBEX,-0.289471804276369
2001-06-13,IBEX,-0.28359018781628986
2001-06-14,IBEX,-0.28705178217442495
2001-06-15,IBEX,-0.2956269820325407
2001-06-18,IBEX,-0.3220391965882152
2001-06-19,IBEX,-0.3198476803393068
2001-06-20,IBEX,-0.32183516379537147
2001-06-21,IBEX,-0.32943993215151846
2001-06-22,IBEX,-0.3291168049557618
2001-06-25,IBEX,-0.32618420891834043
2001-06-26,IBEX,-0.3392078323469093
2001-06-27,IBEX,-0.33959126502325376
2001-06-28,IBEX,-0.33447814089199446
2001-06-29,IBEX,-0.33278940617484
2001-07-02,IBEX,-0.3183011750440208
2001-07-03,IBEX,-0.32262743403271754
2001-07-04,IBEX,-0.3325341983986413
2001-07-05,IBEX,-0.3398915939337467
2001-07-06,IBEX,-0.3617094389845934
2001-07-09,IBEX,-0.3598877017416955
2001-07-10,IBEX,-0.36449140434095795
2001-07-11,IBEX,-0.37960954450904905
2001-07-12,IBEX,-0.3871148950040879
2001-07-13,IBEX,-0.3769040118426432
2001-07-16,IBEX,-0.37748963124098145
