Date,Index,Return,VaR95,VaR99,Breach95,Breach99
2000-08-21,IBEX,0.0025271056201849,-2.08305622183773,-3.2691390129337603,0,0
2000-08-22,IBEX,-0.0144272393057106,-2.0217728157390464,-3.1729611125860107,0,0
2000-08-23,IBEX,-0.0125618938128135,-2.0759236347884666,-3.257945163079184,0,0
2000-08-24,IBEX,-0.0072497162717087,-2.1079608630988043,-3.3082242442857344,0,0
2000-08-25,IBEX,0.0091186881464824,-2.093149149137695,-3.2849788073882324,0,0
2000-08-28,IBEX,0.0082115075666406,-2.0844422400745257,-3.2713142236856565,0,0
2000-08-29,IBEX,-0.0061523230936863,-2.0690540902194297,-3.2471641309033386,0,0
2000-08-30,IBEX,0.0026715596346673,-2.0484674949479422,-3.214855621396993,0,0
2000-08-31,IBEX,0.0013882867673648,-1.9904171929057641,-3.123751739932263,0,0
2000-09-01,IBEX,0.0258823170242553,-1.9251137797892022,-3.02126485875306,0,0
2000-09-05,IBEX,0.001619140008347,-2.0873761783024674,-3.275918733070449,0,0
2000-09-06,IBEX,0.0044857193576832,-2.0185976416247224,-3.1679780086922347,0,0
2000-09-07,IBEX,0.0039074731827738,-1.977405908858839,-3.103331889598776,0,0
2000-09-08,IBEX,-0.0160105256414364,-1.9340977628556724,-3.0353642811432167,0,0
2000-09-11,IBEX,0.0113286098084874,-2.013591299636965,-3.1601210782202247,0,0
2000-09-12,IBEX,0.0072754771964772,-2.0307646521548137,-3.1870728599870337,0,0
2000-09-13,IBEX,-0.0088171931820655,-2.0119911505389196,-3.157609811463192,0,0
2000-09-14,IBEX,0.0211002185550738,-2.0186853326168768,-3.1681156305386966,0,0
2000-09-15,IBEX,0.0010037236463886,-2.120937533997153,-3.3285897729003997,0,0
2000-09-18,IBEX,-0.0242824933323179,-2.045468799571438,-3.210149482436142,0,0
2000-09-19,IBEX,-0.0110184418750875,-2.1833793761626783,-3.42658571757187,0,0
2000-09-20,IBEX,-0.0149501443706183,-2.191903912760509,-3.4399640867522105,0,0
2000-09-21,IBEX,-0.0090211036329225,-2.230744736533813,-3.5009206999058256,0,0
2000-09-22,IBEX,0.020703554919523,-2.219385983033766,-3.4830943235382485,0,0
2000-09-25,IBEX,0.0116907272384271,-2.290682351503083,-3.594986521742058,0,0
2000-09-26,IBEX,-0.0183679524664195,-2.284556916289285,-3.5853732914227345,0,0
2000-09-27,IBEX,0.0001459925320014,-2.339402462359539,-3.671447643360169,0,0
2000-09-28,IBEX,0.0059597974791294,-2.252936677240978,-3.535748631277981,0,0
2000-09-29,IBEX,-0.0066535856867051,-2.2070372982601936,-3.4637143535074393,0,0
2000-10-02,IBEX,0.0183241620060224,-2.1794840974221747,-3.420472484734786,0,0
2000-10-03,IBEX,0.0105871401311065,-2.2366495161038054,-3.510187634255781,0,0
2000-10-04,IBEX,-0.0099776140417339,-2.2270168828049175,-3.495070223124699,0,0
2000-10-05,IBEX,0.0069653785255741,-2.223336899821523,-3.489294874475043,0,0
2000-10-06,IBEX,-0.0077990949647013,-2.1871820976815264,-3.432553691523923,0,0
2000-10-09,IBEX,-0.0283071672266208,-2.170109224288144,-3.4057596012405873,0,0
2000-10-10,IBEX,0.0102711383660975,-2.3218046955397864,-3.6438297877075687,0,0
2000-10-11,IBEX,-0.0307868134976951,-2.3024289970200034,-3.613421654086488,0,0
2000-10-13,IBEX,-0.0222156276024344,-2.4518323496376624,-3.8478945999365,0,0
2000-10-16,IBEX,0.0066984765958622,-2.5147694830540837,-3.9466678524569345,0,0
2000-10-17,IBEX,-0.0076618316443774,-2.455404041479264,-3.8534999969580244,0,0
2000-10-18,IBEX,-0.0312582162967225,-2.4156291428780254,-3.791077450994249,0,0
2000-10-19,IBEX,0.0304771613074225,-2.5501001140005486,-4.002115584864634,0,0
2000-10-20,IBEX,0.0073327177088577,-2.649509935272655,-4.158128908740601,0,0
2000-10-23,IBEX,-0.0109466841619863,-2.5846001884497336,-4.056259845662092,0,0
2000-10-24,IBEX,0.0321029180091252,-2.556302536191436,-4.011849638197591,0,0
2000-10-25,IBEX,-0.014114474212283,-2.6662060735125195,-4.184331752577971,0,0
2000-10-26,IBEX,-0.0184919830262602,-2.6511937546360294,-4.1607714872336015,0,0
2000-10-27,IBEX,0.0068531833518986,-2.6659382870236463,-4.183911489673526,0,0
2000-10-30,IBEX,-0.0085399236455935,-2.596834491655225,-4.075460305777301,0,0
2000-10-31,IBEX,0.0053990246740328,-2.5517987337984764,-4.004781391092682,0,0
2000-11-02,IBEX,0.0137903337262984,-2.4812761913859487,-3.8941036320023996,0,0
2000-11-03,IBEX,0.0033919975722414,-2.472749225979052,-3.8807214510600962,0,0
2000-11-06,IBEX,0.0064103875629296,-2.394048366397113,-3.757208677994492,0,0
2000-11-07,IBEX,-0.0034837888841104,-2.341334282067808,-3.6744794324727477,0,0
2000-11-08,IBEX,-0.0080903779677637,-2.2805525636304504,-3.5790888784715604,0,0
2000-11-09,IBEX,-0.0207021789031549,-2.257924440756813,-3.543576404780185,0,0
2000-11-10,IBEX,-0.0283835845560355,-2.3342842494216027,-3.6634151431249387,0,0
2000-11-13,IBEX,-0.0089221479056543,-2.4596548243312353,-3.860171156339709,0,0
2000-11-14,IBEX,0.0374322447338104,-2.428219921418337,-3.810837361887595,0,0
2000-11-15,IBEX,0.00187660312997,-2.597515114636264,-4.076528472405301,0,0
2000-11-16,IBEX,-0.0155465333936038,-2.5013745137320393,-3.9256458481880756,0,0
2000-11-17,IBEX,-0.0289691280085582,-2.511793469070919,-3.9419973095722023,0,0
2000-11-20,IBEX,-0.0306501553939478,-2.6149968377793162,-4.10396420963655,0,0
2000-11-21,IBEX,0.004732867882218,-2.7152158632700005,-4.261247494953139,0,0
2000-11-22,IBEX,-0.0362441553709368,-2.629609879993319,-4.126897851992731,0,0
2000-11-24,IBEX,0.0412659065102285,-2.765937738082041,-4.340850175869209,0,0
2000-11-27,IBEX,-0.0104669917833007,-2.905848305971029,-4.560425188301706,0,0
2000-11-28,IBEX,-0.0194610956620674,-2.848087295840136,-4.469775320254085,0,0
2000-11-29,IBEX,0.0126678656580478,-2.8486967364097593,-4.470731773527565,0,0
2000-11-30,IBEX,-0.0281211440637724,-2.8010127470584822,-4.395896736313326,0,0
2000-12-01,IBEX,0.0134637360575108,-2.860119571574655,-4.4886587193701155,0,0
2000-12-04,IBEX,-0.0293689877519879,-2.8161961088520506,-4.419725435638135,0,0
2000-12-05,IBEX,0.0423155631142565,-2.88120495814063,-4.5217500296780075,0,0
2000-12-07,IBEX,0.0038189169677936,-3.009942307454645,-4.723789843415168,0,0
2000-12-11,IBEX,0.0301598256411029,-2.9000506776123536,-4.551326416578148,0,0
2000-12-12,IBEX,-0.003541130798239,-2.951734396708202,-4.632438611562826,0,0
2000-12-13,IBEX,-0.0037595209613581,-2.8511263372144446,-4.474544778041406,0,0
2000-12-14,IBEX,-0.0206504578233083,-2.7583765843314656,-4.328983735371992,0,0
2000-12-15,IBEX,-0.0388395173941289,-2.7755969186709653,-4.356009250197201,0,0
2000-12-18,IBEX,-0.0113025878473565,-2.9065008009361617,-4.561449210948764,0,0
2000-12-19,IBEX,0.0221438046181155,-2.85353178146117,-4.478319871362444,0,0
2000-12-20,IBEX,-0.0431859536500418,-2.8620921101790864,-4.491754412534161,0,0
2000-12-21,IBEX,0.0112069478317859,-3.0072353008006196,-4.7195414794160735,0,0
2000-12-22,IBEX,0.0083096679839,-2.938461594971615,-4.611608336550022,0,0
2000-12-27,IBEX,0.0043604361429459,-2.8585315571104686,-4.486166496652577,0,0
2000-12-28,IBEX,-0.0003195304113625,-2.761390619583396,-4.333713948663955,0,0
2000-12-29,IBEX,0.0037612887033165,-2.6539207772507774,-4.1650512641909225,0,0
2001-01-02,IBEX,-0.003254498527211,-2.5662442727549974,-4.027452154594185,0,0
2001-01-03,IBEX,0.0132050140602081,-2.4890797311657185,-3.906350472037528,0,0
2001-01-04,IBEX,0.0421701056305199,-2.4758107910127194,-3.8855262573765414,0,0
2001-01-05,IBEX,0.0004375526886646,-2.6720605852721406,-4.193519796853689,0,0
2001-01-08,IBEX,0.0023094149460927,-2.5651168354095373,-4.025682759523594,0,0
2001-01-09,IBEX,-0.0043529334951487,-2.473662375938568,-3.882154544476403,0,0
