iteration,index,n_test,var_exceedances,coverage_rate,coverage_roll,expected_coverage,coverage_gap
35,SPX,59,5,0.0847457627118644,0.045578296838727606,0.05,-0.004421703161272397
36,SPX,60,1,0.016666666666666666,0.03744988153818116,0.05,-0.012550118461818846
37,SPX,62,2,0.03225806451612903,0.033417623473665024,0.05,-0.01658237652633498
38,SPX,63,3,0.047619047619047616,0.04532238537842693,0.05,-0.004677614621573074
39,SPX,58,3,0.05172413793103448,0.037066979183219446,0.05,-0.012933020816780556
40,SPX,61,2,0.03278688524590164,0.04109703382802819,0.05,-0.00890296617197181
41,SPX,61,4,0.06557377049180328,0.04942596032194675,0.05,-0.0005740396780532508
42,SPX,63,5,0.07936507936507936,0.05736246825845469,0.05,0.007362468258454685
43,SPX,60,1,0.016666666666666666,0.04859810044236274,0.05,-0.0014018995576372609
44,SPX,60,9,0.15,0.07790137913088732,0.05,0.02790137913088732
45,SPX,61,5,0.08196721311475409,0.08199973978662503,0.05,0.03199973978662503
46,SPX,63,2,0.031746031746031744,0.07009497788186313,0.05,0.020094977881863124
47,SPX,61,4,0.06557377049180328,0.08232175383814727,0.05,0.03232175383814727
48,SPX,61,3,0.04918032786885246,0.057116835805360394,0.05,0.007116835805360391
49,SPX,61,3,0.04918032786885246,0.04892011449388499,0.05,-0.0010798855061150137
50,SPX,62,4,0.06451612903225806,0.05711263881544157,0.05,0.007112638815441566
51,SPX,63,4,0.06349206349206349,0.05659221206550662,0.05,0.006592212065506614
52,SPX,60,7,0.11666666666666667,0.07346379676496018,0.05,0.023463796764960174
53,SPX,61,9,0.14754098360655737,0.0980539606993864,0.05,0.0480539606993864
54,SPX,61,4,0.06557377049180328,0.0983183710642727,0.05,0.0483183710642727
55,SPX,63,4,0.06349206349206349,0.0983183710642727,0.05,0.0483183710642727
56,SPX,60,6,0.1,0.09415170439760605,0.05,0.044151704397606045
57,SPX,60,2,0.03333333333333333,0.06559979182930002,0.05,0.01559979182930002
58,SPX,62,1,0.016129032258064516,0.05323860727086533,0.05,0.0032386072708653277
59,SPX,62,3,0.04838709677419355,0.049462365591397855,0.05,-0.0005376344086021473
60,SPX,59,3,0.05084745762711865,0.03717422999817751,0.05,-0.012825770001822494
61,SPX,61,4,0.06557377049180328,0.045234339287795,0.05,-0.004765660712205001
62,SPX,61,4,0.06557377049180328,0.05759552384622969,0.05,0.00759552384622969
63,SPX,63,4,0.06349206349206349,0.061371765525697175,0.05,0.011371765525697172
64,SPX,58,2,0.034482758620689655,0.05728059077408993,0.05,0.0072805907740899276
65,SPX,60,5,0.08333333333333333,0.06172048148447244,0.05,0.01172048148447244
66,SPX,61,3,0.04918032786885246,0.05762212082873473,0.05,0.00762212082873473
