iteration,train_start,train_end,test_end,model,index,mae,rmse
22,2005-01-28,2014-09-25,2014-12-23,ARIMA,SPX,0.006425067453454621,0.008886853067622552
23,2005-04-27,2014-12-23,2015-03-20,ARIMA,SPX,0.006529634667829731,0.00836221013854427
24,2005-07-25,2015-03-20,2015-06-17,ARIMA,SPX,0.004752093469519069,0.006083887721328749
25,2005-10-20,2015-06-17,2015-09-14,ARIMA,SPX,0.008619858022470287,0.012666336008362436
26,2006-01-17,2015-09-14,2015-12-10,ARIMA,SPX,0.006957799978033534,0.009294093794446285
27,2006-04-14,2015-12-10,2016-03-08,ARIMA,SPX,0.009796759588570512,0.012281955447180259
28,2006-07-12,2016-03-08,2016-06-03,ARIMA,SPX,0.004590643565587858,0.00608017146105614
29,2006-10-09,2016-06-03,2016-08-31,ARIMA,SPX,0.004734654330015631,0.007587512064112211
30,2007-01-04,2016-08-31,2016-11-28,ARIMA,SPX,0.004814820936115796,0.006870886244320044
31,2007-04-03,2016-11-28,2017-02-23,ARIMA,SPX,0.003110807635403351,0.004093995771615423
32,2007-06-29,2017-02-23,2017-05-23,ARIMA,SPX,0.0032731779871123983,0.004798066503930232
33,2007-09-26,2017-05-23,2017-08-18,ARIMA,SPX,0.0029648519673561515,0.004577722512601023
34,2007-12-24,2017-08-18,2017-11-15,ARIMA,SPX,0.0023985587875001236,0.0033097906202832882
35,2008-03-20,2017-11-15,2018-02-12,ARIMA,SPX,0.005553727526664072,0.009498942550228205
36,2008-06-17,2018-02-12,2018-05-10,ARIMA,SPX,0.008205900949193342,0.010640735059159495
37,2008-09-12,2018-05-10,2018-08-07,ARIMA,SPX,0.004294473098654915,0.005382252500398301
38,2008-12-10,2018-08-07,2018-11-02,ARIMA,SPX,0.0061206265405212255,0.009326543982628166
39,2009-03-09,2018-11-02,2019-01-30,ARIMA,SPX,0.009878285666553245,0.014022799247770147
40,2009-06-04,2019-01-30,2019-04-29,ARIMA,SPX,0.00408255294922096,0.005658574910771285
41,2009-09-01,2019-04-29,2019-07-25,ARIMA,SPX,0.005535027116120734,0.007249204520413164
42,2009-11-27,2019-07-25,2019-10-22,ARIMA,SPX,0.007645218734657696,0.010241872404795044
43,2010-02-24,2019-10-22,2020-01-17,ARIMA,SPX,0.0033956277403089778,0.004301119657596071
44,2010-05-24,2020-01-17,2020-04-15,ARIMA,SPX,0.0258382243236137,0.037974219940276416
45,2010-08-19,2020-04-15,2020-07-13,ARIMA,SPX,0.012103416325328785,0.015926333675544274
46,2010-11-16,2020-07-13,2020-10-08,ARIMA,SPX,0.008525106070577987,0.010927841807915032
47,2011-02-11,2020-10-08,2021-01-05,ARIMA,SPX,0.007218367633749222,0.009812368845893907
48,2011-05-11,2021-01-05,2021-04-02,ARIMA,SPX,0.007179986067706883,0.009661274647179533
49,2011-08-08,2021-04-02,2021-06-30,ARIMA,SPX,0.005081214214045682,0.006847323216211892
50,2011-11-03,2021-06-30,2021-09-27,ARIMA,SPX,0.004891300681624131,0.006360086560472409
51,2012-01-31,2021-09-27,2021-12-23,ARIMA,SPX,0.007206663653303606,0.00919157384374105
52,2012-04-27,2021-12-23,2022-03-22,ARIMA,SPX,0.010335565419779489,0.01297454660462715
53,2012-07-25,2022-03-22,2022-06-17,ARIMA,SPX,0.013413984770700237,0.01740478815647324
54,2012-10-22,2022-06-17,2022-09-14,ARIMA,SPX,0.00985168488638693,0.013413820304199199
55,2013-01-17,2022-09-14,2022-12-12,ARIMA,SPX,0.01254403209998167,0.015758002159617437
56,2013-04-16,2022-12-12,2023-03-09,ARIMA,SPX,0.00832040232532504,0.010434035425765875
57,2013-07-12,2023-03-09,2023-06-06,ARIMA,SPX,0.006545255040898122,0.008600844107843734
58,2013-10-09,2023-06-06,2023-09-01,ARIMA,SPX,0.005228905813877198,0.006460428312810253
59,2014-01-06,2023-09-01,2023-11-29,ARIMA,SPX,0.006092647598114674,0.007993181068774623
60,2014-04-03,2023-11-29,2024-02-26,ARIMA,SPX,0.00502747077692263,0.006822249225621978
61,2014-07-01,2024-02-26,2024-05-23,ARIMA,SPX,0.0054563468630153085,0.00687299299646789
62,2014-09-26,2024-05-23,2024-08-20,ARIMA,SPX,0.006335878414609301,0.008982735619593408
63,2014-12-24,2024-08-20,2024-11-15,ARIMA,SPX,0.005769183239468518,0.00793037346387982
64,2015-03-23,2024-11-15,2025-02-12,ARIMA,SPX,0.005532374490269306,0.007576316668992834
65,2015-06-18,2025-02-12,2025-05-12,ARIMA,SPX,0.012742236262940094,0.019896970831121106
66,2015-09-15,2025-05-12,2025-08-07,ARIMA,SPX,0.004860250601041065,0.006550424256540945
1,2000-01-04,2009-08-31,2009-11-26,EGARCH,IBEX,0.013928831177235965,0.016842919901281027
2,2000-03-31,2009-11-26,2010-02-23,EGARCH,IBEX,0.016522477361743743,0.021517634358534626
3,2000-06-28,2010-02-23,2010-05-21,EGARCH,IBEX,0.023960632665747546,0.033076664715707346
4,2000-09-25,2010-05-21,2010-08-18,EGARCH,IBEX,0.0209777952560963,0.026082850636681133
5,2000-12-21,2010-08-18,2010-11-15,EGARCH,IBEX,0.014022074451263637,0.01656995695333695
6,2001-03-20,2010-11-15,2011-02-10,EGARCH,IBEX,0.017464529058092548,0.020720492582941594
7,2001-06-15,2011-02-10,2011-05-10,EGARCH,IBEX,0.01316265908022561,0.015363720842398261
8,2001-09-12,2011-05-10,2011-08-05,EGARCH,IBEX,0.01966912192033755,0.02322807623527289
9,2001-12-10,2011-08-05,2011-11-02,EGARCH,IBEX,0.02707413326573481,0.03409572886900478
10,2002-03-07,2011-11-02,2012-01-30,EGARCH,IBEX,0.020741758417949372,0.024488278127416763
11,2002-06-04,2012-01-30,2012-04-26,EGARCH,IBEX,0.01931419460865129,0.024239051697433393
12,2002-08-30,2012-04-26,2012-07-24,EGARCH,IBEX,0.025439312766007124,0.03114475421412214
13,2002-11-27,2012-07-24,2012-10-19,EGARCH,IBEX,0.020016599108610728,0.02374014834754985
14,2003-02-24,2012-10-19,2013-01-16,EGARCH,IBEX,0.011877291534977606,0.014250781810045342
15,2003-05-22,2013-01-16,2013-04-15,EGARCH,IBEX,0.01710610342683326,0.020867857548797036
16,2003-08-19,2013-04-15,2013-07-11,EGARCH,IBEX,0.0152572305906237,0.018146190123269602
17,2003-11-14,2013-07-11,2013-10-08,EGARCH,IBEX,0.00959383922701146,0.012950195876081467
18,2004-02-11,2013-10-08,2014-01-03,EGARCH,IBEX,0.010278900961194201,0.012713776915172722
19,2004-05-10,2014-01-03,2014-04-02,EGARCH,IBEX,0.011591236261857873,0.014666413996301397
20,2004-08-05,2014-04-02,2014-06-30,EGARCH,IBEX,0.009697328695247582,0.01174310057353319
21,2004-11-02,2014-06-30,2014-09-25,EGARCH,IBEX,0.012461493763059956,0.014955837328183863
22,2005-01-28,2014-09-25,2014-12-23,EGARCH,IBEX,0.017849818031732564,0.02201379835585978
23,2005-04-27,2014-12-23,2015-03-20,EGARCH,IBEX,0.013493321561102172,0.01732812551068028
24,2005-07-25,2015-03-20,2015-06-17,EGARCH,IBEX,0.012263709325763436,0.015085260843133916
25,2005-10-20,2015-06-17,2015-09-14,EGARCH,IBEX,0.020120977842802555,0.024684668894122058
26,2006-01-17,2015-09-14,2015-12-10,EGARCH,IBEX,0.015685745426571775,0.019127315315479586
27,2006-04-14,2015-12-10,2016-03-08,EGARCH,IBEX,0.023351386603798905,0.029194673123066537
28,2006-07-12,2016-03-08,2016-06-03,EGARCH,IBEX,0.015793372752682725,0.018355148879487724
29,2006-10-09,2016-06-03,2016-08-31,EGARCH,IBEX,0.02007419358616484,0.028888249860282468
30,2007-01-04,2016-08-31,2016-11-28,EGARCH,IBEX,0.012903007603486508,0.015100556932495717
31,2007-04-03,2016-11-28,2017-02-23,EGARCH,IBEX,0.009287546673302819,0.010666019227232938
32,2007-06-29,2017-02-23,2017-05-23,EGARCH,IBEX,0.00810990296380524,0.010066953621756079
33,2007-09-26,2017-05-23,2017-08-18,EGARCH,IBEX,0.011097309971916505,0.012999590085802003
34,2007-12-24,2017-08-18,2017-11-15,EGARCH,IBEX,0.01317670177577334,0.01453089049632919
35,2008-03-20,2017-11-15,2018-02-12,EGARCH,IBEX,0.01034311932211322,0.01295497634307362
36,2008-06-17,2018-02-12,2018-05-10,EGARCH,IBEX,0.010444633780265921,0.012573147164188517
37,2008-09-12,2018-05-10,2018-08-07,EGARCH,IBEX,0.011317351011949799,0.013705120191002795
38,2008-12-10,2018-08-07,2018-11-02,EGARCH,IBEX,0.011854406267474972,0.013869941100029051
39,2009-03-09,2018-11-02,2019-01-30,EGARCH,IBEX,0.012258197851477637,0.014638705394386208
40,2009-06-04,2019-01-30,2019-04-29,EGARCH,IBEX,0.00828273600720977,0.009915864396831564
41,2009-09-01,2019-04-29,2019-07-25,EGARCH,IBEX,0.009754217330959696,0.011563180951930483
42,2009-11-27,2019-07-25,2019-10-22,EGARCH,IBEX,0.010995203862952713,0.013928562343806083
43,2010-02-24,2019-10-22,2020-01-17,EGARCH,IBEX,0.008368000740911131,0.009840780425833091
44,2010-05-24,2020-01-17,2020-04-15,EGARCH,IBEX,0.029954621577123586,0.04501212145199336
45,2010-08-19,2020-04-15,2020-07-13,EGARCH,IBEX,0.0220673085861324,0.02633362165453038
46,2010-11-16,2020-07-13,2020-10-08,EGARCH,IBEX,0.016536421689949368,0.019776376939148275
47,2011-02-11,2020-10-08,2021-01-05,EGARCH,IBEX,0.014456585304396282,0.018488919626358506
48,2011-05-11,2021-01-05,2021-04-02,EGARCH,IBEX,0.011717036503069007,0.014172824157090464
49,2011-08-08,2021-04-02,2021-06-30,EGARCH,IBEX,0.009268734610390147,0.011844766428024775
50,2011-11-03,2021-06-30,2021-09-27,EGARCH,IBEX,0.011592376905669508,0.014228217153495688
51,2012-01-31,2021-09-27,2021-12-23,EGARCH,IBEX,0.013844265522540387,0.017667109537921524
52,2012-04-27,2021-12-23,2022-03-22,EGARCH,IBEX,0.015444156447723066,0.020288175028052895
53,2012-07-25,2022-03-22,2022-06-17,EGARCH,IBEX,0.014692547371788729,0.0182689262000558
54,2012-10-22,2022-06-17,2022-09-14,EGARCH,IBEX,0.0135237835168313,0.016095461304181415
55,2013-01-17,2022-09-14,2022-12-12,EGARCH,IBEX,0.012329479385793872,0.015419120726498235
56,2013-04-16,2022-12-12,2023-03-09,EGARCH,IBEX,0.007689627852653987,0.009656634686760363
